epoch 	 learning_rate 	 Precision 	 Recall 	 F1 	 ACC1 
0	0.0004	0.829402595773	0.8292	0.829301285513	0.8292	
1	0.0004	0.856920839119	0.8568	0.856860415299	0.8844	
2	0.0004	0.878751129852	0.878666666667	0.87870889623	0.9224	
3	0.0004	0.896762990092	0.8967	0.89673149394	0.9508	
4	0.0004	0.910690055561	0.91064	0.910665027093	0.9664	
5	0.0004	0.921765994892	0.921733333333	0.921749663823	0.9772	
6	0.0004	0.930829987174	0.9308	0.930814993345	0.9852	
7	0.0004	0.937929446376	0.9379	0.937914722957	0.9876	
8	0.0004	0.943846967184	0.943822222222	0.943834594541	0.9912	
9	0.0004	0.94842122575	0.9484	0.948410612756	0.9896	
10	0.0004	0.952781763201	0.952763636364	0.952772699696	0.9964	
11	0.0004	0.956647996808	0.956633333333	0.956640665014	0.9992	
12	0.0004	0.959920875327	0.959907692308	0.959914283772	0.9992	
13	0.0004	0.962582086463	0.962571428571	0.962576757488	0.9972	
14	0.0004	0.964836674414	0.964826666667	0.964831670515	0.9964	
15	0.0004	0.966258621122	0.96625	0.966254310542	0.9876	
16	0.0004	0.967936550566	0.967929411765	0.967932981152	0.9948	
17	0.0004	0.969628612882	0.969622222222	0.969625417542	0.9984	
18	0.0004	0.97093206737	0.970926315789	0.970929191571	0.9944	
19	0.0004	0.972305459851	0.9723	0.972302729918	0.9984	
20	0.0004	0.97352889211	0.973523809524	0.97352635081	0.998	
21	0.0004	0.974677262206	0.974672727273	0.974674994734	0.9988	
22	0.0004	0.975673723091	0.975669565217	0.97567164415	0.9976	
23	0.0004	0.976453646988	0.97645	0.976451823491	0.9944	
24	0.0004	0.977331367256	0.977328	0.977329683625	0.9984	
25	0.0004	0.978156890061	0.978153846154	0.978155368105	0.9988	
26	0.0004	0.978876764718	0.978874074074	0.978875419394	0.9976	
27	0.0004	0.979402504633	0.9794	0.979401252315	0.9936	
28	0.0004	0.980071245565	0.980068965517	0.98007010554	0.9988	
29	0.0004	0.980695631785	0.980693333333	0.980694482558	0.9988	
epoch 	 learning_rate 	 Precision 	 Recall 	 F1 	 ACC1 
0	0.0001	0.837724498759	0.8376	0.837662244754	0.8376	
1	0.0001	0.859242848165	0.859	0.859121406921	0.8804	
2	0.0001	0.86865693914	0.8684	0.868528450567	0.8872	
3	0.0001	0.865402864758	0.8654	0.865401432377	0.8564	
4	0.0001	0.858338912191	0.85808	0.858209436568	0.8288	
5	0.0001	0.846779436565	0.846333333333	0.84655632618	0.7876	
6	0.0001	0.840992285455	0.840114285714	0.840553056306	0.8028	
7	0.0001	0.830597694994	0.8301	0.83034877292	0.76	
8	0.0001	0.820362504331	0.819822222222	0.820092274291	0.7376	
9	0.0001	0.813487409308	0.81336	0.813423699665	0.7552	
10	0.0001	0.806617881569	0.806509090909	0.806563482571	0.738	
11	0.0001	0.800190885793	0.8001	0.800145440315	0.7296	
12	0.0001	0.794988408193	0.794861538462	0.794924968265	0.732	
13	0.0001	0.788637793473	0.788514285714	0.788576034757	0.706	
14	0.0001	0.783051437138	0.78296	0.783005715899	0.7052	
15	0.0001	0.777658902846	0.777625	0.777641951054	0.6976	
16	0.0001	0.773811813821	0.773811764706	0.773811789264	0.7128	
17	0.0001	0.771138060077	0.771088888889	0.771113473699	0.7248	
18	0.0001	0.769085961436	0.768947368421	0.769016658684	0.7304	
19	0.0001	0.768060705021	0.76778	0.767920326858	0.7456	
20	0.0001	0.760937008287	0.760761904762	0.76084944645	0.6204	
21	0.0001	0.753228377572	0.752836363636	0.753032319586	0.5864	
22	0.0001	0.745994822477	0.745182608696	0.745588494388	0.5768	
23	0.0001	0.739521087607	0.7382	0.738859953275	0.5776	
24	0.0001	0.734346056665	0.732416	0.733379758488	0.5936	
25	0.0001	0.730457375479	0.727784615385	0.729118546028	0.612	
26	0.0001	0.729127366055	0.725881481481	0.727500803252	0.6764	
27	0.0001	0.728580966179	0.725085714286	0.726829138173	0.7036	
28	0.0001	0.727734825639	0.723834482759	0.72577941412	0.6888	
29	0.0001	0.726764195415	0.722346666667	0.724548697753	0.6792	
epoch 	 learning_rate 	 Precision 	 Recall 	 F1 	 ACC1 
0	0.0001	0.808732146392	0.8084	0.808566039086	0.8084	
1	0.0001	0.839490223883	0.839	0.839245040354	0.8696	
2	0.0001	0.85259029035	0.852133333333	0.852361750597	0.8784	
3	0.0001	0.862648505214	0.8623	0.862474217401	0.8928	
4	0.0001	0.870904810605	0.87064	0.87077238517	0.904	
5	0.0001	0.878530108425	0.878333333333	0.878431709859	0.9168	
6	0.0001	0.88580795881	0.885657142857	0.885732544414	0.9296	
7	0.0001	0.891575464695	0.89145	0.891512727933	0.932	
8	0.0001	0.896988272011	0.896888888889	0.896938577697	0.9404	
9	0.0001	0.901982608952	0.90192	0.90195130339	0.9472	
10	0.0001	0.906698533968	0.906654545455	0.906676539178	0.954	
11	0.0001	0.91136054529	0.911333333333	0.911346939109	0.9628	
12	0.0001	0.915371855498	0.915353846154	0.915362850737	0.9636	
13	0.0001	0.918842522817	0.918828571429	0.91883554707	0.964	
14	0.0001	0.922674361219	0.922666666667	0.922670513927	0.9764	
15	0.0001	0.92608067646	0.926075	0.926077838221	0.9772	
16	0.0001	0.929392503901	0.929388235294	0.929390369593	0.9824	
17	0.0001	0.932313245991	0.932311111111	0.93231217855	0.982	
18	0.0001	0.93499058726	0.934989473684	0.934990030472	0.9832	
19	0.0001	0.937800717293	0.9378	0.937800358646	0.9912	
20	0.0001	0.940286113638	0.940285714286	0.940285913962	0.99	
21	0.0001	0.942618577468	0.942618181818	0.942618379643	0.9916	
22	0.0001	0.944713280748	0.944713043478	0.944713162113	0.9908	
23	0.0001	0.946567002088	0.946566666667	0.946566834377	0.9892	
