epoch 	 learning_rate 	 Precision 	 Recall 	 F1 	 ACC1 
0	0.0004	0.873007089098	0.87292	0.872963542377	0.87292	
1	0.0004	0.872560533648	0.86944	0.870997471839	0.86944	
2	0.0004	0.871033135744	0.86844	0.869734635002	0.86844	
3	0.0004	0.860669120736	0.85172	0.856171175858	0.85172	
4	0.0004	0.863680716052	0.85592	0.859782845614	0.85592	
5	0.0004	0.859929998167	0.8524	0.85614844244	0.8524	
6	0.0004	0.866505411602	0.86336	0.864929846152	0.86336	
7	0.0004	0.86793043311	0.86592	0.866924050987	0.86592	
8	0.0004	0.860893730225	0.85868	0.859785440166	0.85868	
9	0.0004	0.86768416681	0.86764	0.867662082843	0.86764	
10	0.0004	0.865482711321	0.86156	0.863516900744	0.86156	
11	0.0004	0.862716271575	0.85944	0.861075019359	0.85944	
12	0.0004	0.868161414333	0.86804	0.868100702921	0.86804	
13	0.0004	0.860693248965	0.85704	0.858862739646	0.85704	
14	0.0004	0.863423726627	0.8634	0.86341186315	0.8634	
15	0.0004	0.856665988678	0.85576	0.856212754674	0.85576	
16	0.0004	0.864118746452	0.86396	0.864039365935	0.86396	
17	0.0004	0.864124327202	0.86248	0.863301380615	0.86248	
18	0.0004	0.860603498124	0.85684	0.858717625515	0.85684	
19	0.0004	0.870048834633	0.86988	0.869964409125	0.86988	
20	0.0004	0.866659589054	0.86428	0.865468158871	0.86428	
21	0.0004	0.864640084013	0.86464	0.864640042007	0.86464	
22	0.0004	0.860799544859	0.86048	0.860639742769	0.86048	
23	0.0004	0.865432632223	0.86472	0.865076169348	0.86472	
24	0.0004	0.864679208674	0.86456	0.864619600228	0.86456	
25	0.0004	0.860389661888	0.85932	0.859854498278	0.85932	
26	0.0004	0.862001334482	0.862	0.86200066724	0.862	
27	0.0004	0.86193265476	0.86184	0.86188632489	0.86184	
28	0.0004	0.857926843175	0.85788	0.857903420948	0.85788	
29	0.0004	0.866048277373	0.86592	0.865984133936	0.86592	
epoch 	 learning_rate 	 Precision 	 Recall 	 F1 	 ACC1 
0	0.0001	0.865885006365	0.86436	0.865121831126	0.86436	
1	0.0001	0.867357833235	0.86532	0.866337718251	0.86532	
2	0.0001	0.864488394152	0.8556	0.860021232108	0.8556	
3	0.0001	0.841554174797	0.83196	0.836729585931	0.83196	
4	0.0001	0.806979985426	0.78476	0.795714902134	0.78476	
5	0.0001	0.807880437098	0.80644	0.807159575907	0.80644	
6	0.0001	0.792015130161	0.7762	0.784027818897	0.7762	
7	0.0001	0.76235506717	0.76172	0.762037401272	0.76172	
8	0.0001	0.745306804949	0.74496	0.745133362121	0.74496	
9	0.0001	0.746988400467	0.7344	0.740640713982	0.7344	
10	0.0001	0.743730079459	0.74132	0.742523084077	0.74132	
11	0.0001	0.735538370141	0.73528	0.735409162377	0.73528	
12	0.0001	0.729387238617	0.72824	0.728813167836	0.72824	
13	0.0001	0.666246609048	0.66372	0.664980904557	0.66372	
14	0.0001	0.708552866261	0.70764	0.708096138917	0.70764	
15	0.0001	0.702268137097	0.69972	0.700991752908	0.69972	
16	0.0001	0.727480158231	0.7224	0.724931179067	0.7224	
17	0.0001	0.731366274754	0.71944	0.725354117727	0.71944	
18	0.0001	0.754194705373	0.7468	0.750479137543	0.7468	
19	0.0001	0.766894102942	0.7522	0.759475983898	0.7522	
20	0.0001	0.602496509491	0.602	0.602248152412	0.602	
21	0.0001	0.603676392526	0.59	0.596759848516	0.59	
22	0.0001	0.603627071281	0.58492	0.594126316181	0.58492	
23	0.0001	0.613581958733	0.59716	0.60525960934	0.59716	
24	0.0001	0.632069143973	0.60784	0.61971784036	0.60784	
25	0.0001	0.701870076707	0.65444	0.677325724978	0.65444	
26	0.0001	0.723728445039	0.712	0.71781631777	0.712	
27	0.0001	0.726983322323	0.72092	0.723938965605	0.72092	
28	0.0001	0.723114406559	0.71016	0.716578660181	0.71016	
29	0.0001	0.730034277178	0.71864	0.724292328809	0.71864	
epoch 	 learning_rate 	 Precision 	 Recall 	 F1 	 ACC1 
0	0.0001	0.852918338121	0.838	0.84539335961	0.838	
1	0.0001	0.862703054324	0.84984	0.856223219423	0.84984	
2	0.0001	0.863864080643	0.855	0.859409184551	0.855	
3	0.0001	0.869519633004	0.86608	0.867796408148	0.86608	
4	0.0001	0.870274242736	0.86708	0.868674184953	0.86708	
5	0.0001	0.870279039977	0.86976	0.870019442576	0.86976	
6	0.0001	0.869208939143	0.86828	0.868744221245	0.86828	
7	0.0001	0.864996528968	0.86492	0.864958262791	0.86492	
8	0.0001	0.866124715165	0.86392	0.865020952772	0.86392	
9	0.0001	0.86618669936	0.86528	0.865733112279	0.86528	
